Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Botswana,BWA,"Population, total",SP.POP.TOTL,2480244
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.6159710235763
Brazil,BRA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,5.36398908769221
Brazil,BRA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,42.0864551625389
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21175.6186988214
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.848
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,94.5839624750993
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Brazil,BRA,"Population, total",SP.POP.TOTL,211140729
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.6407774494219
British Virgin Islands,VGB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..
British Virgin Islands,VGB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.276
British Virgin Islands,VGB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
British Virgin Islands,VGB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.1728401184082
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,38985
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.8199193881365
Brunei Darussalam,BRN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,8.2669685596365
Brunei Darussalam,BRN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,0.171146697847164
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,85032.6008741995
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.327
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
