"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Angola","2023","Fruit, edible; avocados, fresh or dried","Export","995.666","1386.4","Weight in kilograms","1386.4"
"Angola","2023","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried","Import","10954.67","4380.3","Weight in kilograms","4380.3"
"Angola","2023","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried","Export","25485.965","43135.004","Weight in kilograms","43135.004"
"Angola","2023","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried","Re-Export","2317.326","195.64","Weight in kilograms","195.64"
"Angola","2023","Fruit, edible; oranges, fresh or dried","Import","1071273.739","2495516.504","Weight in kilograms","2495516.504"
"Angola","2023","Fruit, edible; oranges, fresh or dried","Export","129771.406","8959.156","Weight in kilograms","8959.156"
"Angola","2023","Fruit, edible; mandarins (including tangerines and satsumas), fresh or dried","Import","370243.533","926689.322","Weight in kilograms","926689.322"
"Angola","2023","Fruit, edible; mandarins (including tangerines and satsumas), fresh or dried","Export","130.923","104","Weight in kilograms","104"
"Angola","2023","Fruit, edible; clementines, fresh or dried","Import","41802.188","47282.3","Weight in kilograms","47282.3"
"Angola","2023","Fruit, edible; tangelos, wilkings and similar citrus hybrid, fresh or dried","Import","26076.887","20236","Weight in kilograms","20236"
"Angola","2023","Fruit, edible; tangelos, wilkings and similar citrus hybrid, fresh or dried","Export","14.452","124","Weight in kilograms","124"
"Angola","2023","Fruit, edible; grapefruit and pomelos, fresh or dried","Import","44736.129","65631.585","Weight in kilograms","65631.585"
"Angola","2023","Fruit, edible; grapefruit and pomelos, fresh or dried","Export","15.026","63","Weight in kilograms","63"
"Angola","2023","Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia, Citrus latifolia), fresh or dried","Import","372342.216","713614.771","Weight in kilograms","713614.771"
"Angola","2023","Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia, Citrus latifolia), fresh or dried","Export","2136.822","2249.884","Weight in kilograms","2249.884"
"Angola","2023","Fruit, edible; citrus fruit n.e.c. in heading no. 0805, fresh or dried","Import","46847.255","45037","Weight in kilograms","45037"
"Angola","2023","Fruit, edible; citrus fruit n.e.c. in heading no. 0805, fresh or dried","Export","95.01","56","Weight in kilograms","56"
"Angola","2023","Fruit, edible; grapes, fresh","Import","489301.21","564357.472","Weight in kilograms","564357.472"
"Angola","2023","Fruit, edible; grapes, fresh","Export","881.438","877.9","Weight in kilograms","877.9"
"Angola","2023","Fruit, edible; grapes, dried","Import","138523.196","62547.401","Weight in kilograms","62547.401"
"Angola","2023","Fruit, edible; grapes, dried","Export","91.368","58","Weight in kilograms","58"
"Angola","2023","Fruit, edible; watermelons, fresh","Import","712.874","520","Weight in kilograms","520"
"Angola","2023","Fruit, edible; watermelons, fresh","Export","4023.166","11764","Weight in kilograms","11764"
"Angola","2023","Fruit, edible; melons, other than watermelons, fresh","Import","2780.601","3797","Weight in kilograms","3797"
"Angola","2023","Fruit, edible; melons, other than watermelons, fresh","Export","8505.511","13848.8","Weight in kilograms","13848.8"
"Angola","2023","Fruit, edible; papaws (papayas), fresh","Import","3761.803","4028.8","Weight in kilograms","4028.8"
"Angola","2023","Fruit, edible; papaws (papayas), fresh","Export","456537.903","400426.569","Weight in kilograms","400426.569"
"Angola","2023","Fruit, edible; apples, fresh","Import","4974231.867","6624934.118","Weight in kilograms","6624934.118"
"Angola","2023","Fruit, edible; apples, fresh","Export","11209.785","7109","Weight in kilograms","7109"
"Angola","2023","Fruit, edible; pears, fresh","Import","759424.803","1283578.931","Weight in kilograms","1283578.931"
"Angola","2023","Fruit, edible; pears, fresh","Export","149.337","157","Weight in kilograms","157"
"Angola","2023","Fruit, edible; quinces, fresh","Import","978.198","605","Weight in kilograms","605"
"Angola","2023","Fruit, edible; apricots, fresh","Import","8611.132","2001.23","Weight in kilograms","2001.23"
"Angola","2023","Fruit, edible; sour cherries (Prunus cerasus), fresh","Import","6053.085","3156","Weight in kilograms","3156"
"Angola","2023","Fruit, edible; cherries, other than sour cherries (Prunus cerasus), fresh","Import","26746.053","4314.315","Weight in kilograms","4314.315"
"Angola","2023","Fruit, edible; cherries, other than sour cherries (Prunus cerasus), fresh","Export","130.215","89","Weight in kilograms","89"
"Angola","2023","Fruit, edible; peaches, including nectarines, fresh","Import","127612.323","104083.686","Weight in kilograms","104083.686"
"Angola","2023","Fruit, edible; plums and sloes, fresh","Import","83341.033","111654.168","Weight in kilograms","111654.168"
"Angola","2023","Fruit, edible; strawberries, fresh","Import","131465.446","28701.551","Weight in kilograms","28701.551"
"Angola","2023","Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh","Import","106773.794","20545.4","Weight in kilograms","20545.4"
"Angola","2023","Fruit, edible; black, white or red currants and gooseberries, fresh","Import","8323.24","2394.27","Weight in kilograms","2394.27"
"Angola","2023","Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh","Import","98060.878","20840.02","Weight in kilograms","20840.02"
"Angola","2023","Fruit, edible; kiwifruit, fresh","Import","152522.11","88849.312","Weight in kilograms","88849.312"
"Angola","2023","Fruit, edible; persimmons, fresh","Import","11863.288","3728.04","Weight in kilograms","3728.04"
"Angola","2023","Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh","Import","198174.085","84970.596","Weight in kilograms","84970.596"
"Angola","2023","Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh","Export","438708.849","173719.52","Weight in kilograms","173719.52"
"Angola","2023","Fruit, edible; strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Import","23527.222","13654.05","Weight in kilograms","13654.05"
"Angola","2023","Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter","Import","67618.224","21581.19","Weight in kilograms","21581.19"
"Angola","2023","Fruit, edible; fruit and nuts n.e.c. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter","Import","167903.624","49706.968","Weight in kilograms","49706.968"
